The Trap,Don't Fall For It
(x + 3)² equals,= x² + 6x + 9. NOT x² + 9! Square = multiply by itself
Subtracting polynomials,Flip EVERY sign in the second polynomial including the constant!
Vertex form sign of h,(x − 3)² → h = +3. (x + 3)² → h = −3. The sign INSIDE flips
Intercept form root sign,(x − 3) means root at +3. (x + 3) means root at −3. Sign flips!
Square root method,ALWAYS write ± when taking square root. Two answers!
Solving by factoring,MUST set equation = 0 first. Can't factor and split if right side isn't 0
Sum of squares (a² + b²),DOES NOT factor in Algebra 1. Don't try!
GCF leaves +1 or −1,When a term equals the GCF it leaves 1 or −1 — not 0
Combining unlike terms,3x² + 5x is NOT 8x or 8x². Different exponents stay separate
AC method first step,Multiply a · c first. Using just c gives wrong numbers
Drawing parabolas,Smooth U-curve NOT a V. The vertex is rounded
Quadratic formula b sign,Use parens: b = −5 → write (−5)² not −5². Avoids miscompute
Completing the square,Add (b/2)² to BOTH sides not just the left side!
Coefficient and width,BIGGER |a| = NARROWER parabola (counter-intuitive!)
Forgetting AOS on graph,Always label vertex AND axis of symmetry for full credit
